Code,Description,Level,MasterFormat Keywords,MasterFormat Keywords 2,Project Elements Data,MasterFormat Keywords 3,MasterFormat Keywords 4
25 32 00,Integrated Automation Instrumentation and Terminal Devices for Conveying Equipment,3,,Unnamed record,,,Unnamed record
25 33 00,Integrated Automation Instrumentation and Terminal Devices for Fire-Suppression Systems,3,,Unnamed record,,,Unnamed record
25 34 00,Integrated Automation Instrumentation and Terminal Devices for Plumbing,3,,Unnamed record,,,Unnamed record
25 35 00,Integrated Automation Instrumentation and Terminal Devices for HVAC,3,,Unnamed record,,,Unnamed record
25 35 13,Integrated Automation Actuators and Operators,4,,Unnamed record,,,Unnamed record
25 35 16,Integrated Automation Sensors and Transmitters,4,,Unnamed record,,,Unnamed record
25 35 19,Integrated Automation Control Valves,4,,Unnamed record,,,Unnamed record
25 35 23,Integrated Automation Control Dampers,4,,Unnamed record,,,Unnamed record
25 35 26,Integrated Automation Compressed Air Supply,4,,Unnamed record,,,Unnamed record
25 36 00,Integrated Automation Instrumentation and Terminal Devices for Electrical Systems,3,,Unnamed record,,,Unnamed record
25 36 13,Integrated Automation Power Meters,4,,Unnamed record,,,Unnamed record
25 36 16,Integrated Automation KW Transducers,4,,Unnamed record,,,Unnamed record
25 36 19,Integrated Automation Current Sensors,4,,Unnamed record,,,Unnamed record
25 36 23,Integrated Automation Battery Monitors,4,,Unnamed record,,,Unnamed record
25 36 26,Integrated Automation Lighting Relays,4,,Unnamed record,,,Unnamed record
25 36 29,Integrated Automation UPS Monitors,4,,Unnamed record,,,Unnamed record
25 37 00,Integrated Automation Instrumentation and Terminal Devices for Communications Systems,3,,Unnamed record,,,Unnamed record
25 38 00,Integrated Automation Instrumentation and Terminal Devices for Electronic Safety and Security Systems,3,,Unnamed record,,,Unnamed record
25 50 00,Integrated Automation Facility Controls,3,,Unnamed record,,,Unnamed record
25 51 00,Integrated Automation Control of Facility Equipment,3,,Unnamed record,,,Unnamed record
25 52 00,Integrated Automation Control of Conveying Equipment,3,,Unnamed record,,,Unnamed record
25 53 00,Integrated Automation Control of Fire-Suppression Systems,3,,Unnamed record,,,Unnamed record
25 54 00,Integrated Automation Control of Plumbing,3,,Unnamed record,,,Unnamed record
25 55 00,Integrated Automation Control of HVAC,3,,Unnamed record,,,Unnamed record
25 56 00,Integrated Automation Control of Electrical Systems,3,,Unnamed record,,,Unnamed record
25 57 00,Integrated Automation Control of Communications Systems,3,,Unnamed record,,,Unnamed record
25 58 00,Integrated Automation Control of Electronic Safety and Security Systems,3,,Unnamed record,,,Unnamed record
25 90 00,Integrated Automation Control Sequences,3,,Unnamed record,,,Unnamed record
25 91 00,Integrated Automation Control Sequences for Facility Equipment,3,,Unnamed record,,,Unnamed record
25 92 00,Integrated Automation Control Sequences for Conveying Equipment,3,,Unnamed record,,,Unnamed record
25 93 00,Integrated Automation Control Sequences for Fire-Suppression Systems,3,,Unnamed record,,,Unnamed record
25 94 00,Integrated Automation Control Sequences for Plumbing,3,,Unnamed record,,,Unnamed record
25 95 00,Integrated Automation Control Sequences for HVAC,3,,Unnamed record,,,Unnamed record
25 96 00,Integrated Automation Control Sequences for Electrical Systems,3,,Unnamed record,,,Unnamed record
25 97 00,Integrated Automation Control Sequences for Communications Systems,3,,Unnamed record,,,Unnamed record
25 98 00,Integrated Automation Control Sequences for Electronic Safety and Security Systems,3,,Unnamed record,,,Unnamed record
26 00 00,Electrical,2,,Unnamed record,,,Unnamed record
26 01 00,Operation and Maintenance of Electrical Systems,3,,Unnamed record,,,Unnamed record
26 01 10,Operation and Maintenance of Medium-Voltage Electrical Distribution,4,,Unnamed record,,,Unnamed record
26 01 20,Operation and Maintenance of Low-Voltage Electrical Distribution,4,,Unnamed record,,,Unnamed record
26 01 26,Maintenance Testing of Electrical Systems,4,,Unnamed record,,,Unnamed record
26 01 30,Operation and Maintenance of Facility Electrical Power Generating and Storing Equipment,4,,Unnamed record,,,Unnamed record
26 01 40,Operation and Maintenance of Electrical and Cathodic Protection Systems,4,,Unnamed record,,,Unnamed record
26 01 50,Operation and Maintenance of Lighting,4,,Unnamed record,,,Unnamed record
26 01 50.51,Luminaire Relamping,5,,Unnamed record,,,Unnamed record
26 01 50.81,Luminaire Replacement,5,,Unnamed record,,,Unnamed record
26 05 00,Common Work Results for Electrical,3,,Unnamed record,,,Unnamed record
26 05 13,Medium-Voltage Cables,4,,Unnamed record,,,Unnamed record
26 05 13.13,Medium-Voltage Open Conductors,5,,Unnamed record,,,Unnamed record
26 05 13.16,"Medium-Voltage, Single- and Multi-Conductor Cables",5,,Unnamed record,,,Unnamed record
26 05 19,Low-Voltage Electrical Power Conductors and Cables,4,,Unnamed record,,,Unnamed record
26 05 19.13,Undercarpet Electrical Power Cables,5,,Unnamed record,,,Unnamed record
26 05 19.23,Manufactured Wiring Assemblies,5,,Unnamed record,,,Unnamed record
26 05 23,Control-Voltage Electrical Power Cables,4,,Unnamed record,,,Unnamed record
26 05 26,Grounding and Bonding for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 29,Hangers and Supports for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 33,Raceway and Boxes for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 33.13,Conduit for Electrical Systems,5,,Unnamed record,,,Unnamed record
26 05 33.16,Boxes for Electrical Systems,5,,Unnamed record,,,Unnamed record
26 05 33.23,Surface raceways for Electrical Systems,5,,Unnamed record,,,Unnamed record
26 05 36,Cable Trays for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 39,Underfloor Raceways for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 43,Underground Ducts and Raceways for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 46,Utility Poles for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 48,Vibration and Seismic Controls for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 53,Identification for Electrical Systems,4,,Unnamed record,,,Unnamed record
26 05 73,Overcurrent Protective Device Coordination Study,4,,Unnamed record,,,Unnamed record
26 05 83,Wiring Connections,4,,Unnamed record,,,Unnamed record
26 08 00,Commissioning of Electrical Systems,3,,Unnamed record,,,Unnamed record
26 09 00,Instrumentation and Control for Electrical Systems,3,,Unnamed record,,,Unnamed record
26 09 13,Electrical Power Monitoring,4,,Unnamed record,,,Unnamed record
26 09 15,Peak Load Controllers,4,,Unnamed record,,,Unnamed record
26 09 16,Electrical Controls and Relays,4,,Unnamed record,,,Unnamed record
26 09 17,Programmable Controllers,4,,Unnamed record,,,Unnamed record
26 09 19,Enclosed Contactors,4,,Unnamed record,,,Unnamed record
26 09 23,Lighting Control Devices,4,,Unnamed record,,,Unnamed record
26 09 26,Lighting Control Panelboards,4,,Unnamed record,,,Unnamed record
26 09 33,Central Dimming Controls,4,,Unnamed record,,,Unnamed record
26 09 33.13,Multichannel Remote-Controlled Dimmers,5,,Unnamed record,,,Unnamed record
26 09 33.16,Remote-Controlled Dimming Stations,5,,Unnamed record,,,Unnamed record
26 09 36,Modular Dimming Controls,4,,Unnamed record,,,Unnamed record
26 09 36.13,Manual Modular Dimming Controls,5,,Unnamed record,,,Unnamed record
26 09 36.16,Integrated Multipreset Modular Dimming Controls,5,,Unnamed record,,,Unnamed record
26 09 43,Network Lighting Controls,4,,Unnamed record,,,Unnamed record
26 09 43.13,Digital-Network Lighting Controls,5,,Unnamed record,,,Unnamed record
26 09 43.16,Addressable Fixture Lighting Control,5,,Unnamed record,,,Unnamed record
26 09 61,Theatrical Lighting Controls,4,,Unnamed record,,,Unnamed record
26 10 00,Medium-Voltage Electrical Distribution,3,,Unnamed record,,,Unnamed record
26 11 00,Substations,3,,Unnamed record,,,Unnamed record
26 11 13,Primary Unit Substations,4,,Unnamed record,,,Unnamed record
26 11 16,Secondary Unit Substations,4,,Unnamed record,,,Unnamed record
26 12 00,Medium-Voltage Transformers,3,,Unnamed record,,,Unnamed record
26 12 13,"Liquid-Filled, Medium-Voltage Transformers",4,,Unnamed record,,,Unnamed record
26 12 16,"Dry-Type, Medium-Voltage Transformers",4,,Unnamed record,,,Unnamed record
26 12 19,"Pad-Mounted, Liquid-Filled, Medium-Voltage Transformers",4,,Unnamed record,,,Unnamed record
26 13 00,Medium-Voltage Switchgear,3,,Unnamed record,,,Unnamed record
26 13 13,Medium-Voltage Circuit Breaker Switchgear,4,,Unnamed record,,,Unnamed record
26 13 16,Medium-Voltage Fusible Interrupter Switchgear,4,,Unnamed record,,,Unnamed record
26 13 19,Medium-Voltage Vacuum Interrupter Switchgear,4,,Unnamed record,,,Unnamed record
26 13 23,Medium-Voltage  Metal-Enclosed Switchgear,4,,Unnamed record,,,Unnamed record
26 13 26,Medium-Voltage Metal-Clad Switchgear,4,,Unnamed record,,,Unnamed record
26 13 29,Medium-Voltage Compartmentalized Switchgear,4,,Unnamed record,,,Unnamed record
26 16 00,Medium-Voltage Metering,3,,Unnamed record,,,Unnamed record
26 18 00,Medium-Voltage Circuit Protection Devices,3,,Unnamed record,,,Unnamed record
26 18 13,Medium-Voltage Cutouts,4,,Unnamed record,,,Unnamed record
26 18 16,Medium-Voltage Fuses,4,,Unnamed record,,,Unnamed record
26 18 19,Medium-Voltage Lightning Arresters,4,,Unnamed record,,,Unnamed record
26 18 23,Medium-Voltage Surge Arresters,4,,Unnamed record,,,Unnamed record
26 18 26,Medium-Voltage Reclosers,4,,Unnamed record,,,Unnamed record
26 18 29,Medium-Voltage Enclosed Bus,4,,Unnamed record,,,Unnamed record
26 18 33,Medium-Voltage Enclosed Fuse Cutouts,4,,Unnamed record,,,Unnamed record
26 18 36,Medium-Voltage Enclosed Fuses,4,,Unnamed record,,,Unnamed record
26 18 39,Medium-Voltage Motor Controllers,4,,Unnamed record,,,Unnamed record
26 20 00,Low-Voltage Electrical Transmission,3,,Unnamed record,,,Unnamed record
26 21 00,Low-Voltage Electrical Service Entrance,3,,Unnamed record,,,Unnamed record
26 21 13,Low-Voltage Overhead Electrical Service Entrance,4,,Unnamed record,,,Unnamed record
26 21 16,Low-Voltage Underground Electrical Service Entrance ,4,,Unnamed record,,,Unnamed record
26 22 00,Low-Voltage Transformers,3,,Unnamed record,,,Unnamed record
26 22 13,Low-Voltage Distribution Transformers,4,,Unnamed record,,,Unnamed record
26 22 16,Low-Voltage Buck-Boost Transformers,4,,Unnamed record,,,Unnamed record
26 22 19,Control and Signal Transformers,4,,Unnamed record,,,Unnamed record
26 23 00,Low-Voltage Switchgear,3,,Unnamed record,,,Unnamed record
26 23 13,Paralleling Low-Voltage Switchgear,4,,Unnamed record,,,Unnamed record
26 24 00,Switchboards and Panelboards,3,,Unnamed record,,,Unnamed record
26 24 13,Switchboards,4,,Unnamed record,,,Unnamed record
26 24 16,Panelboards,4,,Unnamed record,,,Unnamed record
26 24 19,Motor-Control Centers,4,,Unnamed record,,,Unnamed record
26 25 00,Enclosed Bus Assemblies,3,,Unnamed record,,,Unnamed record
26 26 00,Power Distribution Units,3,,Unnamed record,,,Unnamed record
26 27 00,Low-Voltage Distribution Equipment,3,,Unnamed record,,,Unnamed record
26 27 13,Electricity Metering,4,,Unnamed record,,,Unnamed record
26 27 16,Electrical Cabinets and Enclosures,4,,Unnamed record,,,Unnamed record
26 27 19,Multi-Outlet Assemblies,4,,Unnamed record,,,Unnamed record
26 27 23,Indoor Service Poles,4,,Unnamed record,,,Unnamed record
26 27 26,Wiring Devices,4,,Unnamed record,,,Unnamed record
26 27 73,Door Chimes,4,,Unnamed record,,,Unnamed record
26 28 00,Low-Voltage Circuit Protective Devices,3,,Unnamed record,,,Unnamed record
26 28 13,Fuses,4,,Unnamed record,,,Unnamed record
26 28 16,Enclosed Switches and Circuit Breakers,4,,Unnamed record,,,Unnamed record
26 28 16.13,Enclosed Circuit Breakers,5,,Unnamed record,,,Unnamed record
26 28 16.16,Enclosed Switches,5,,Unnamed record,,,Unnamed record
26 29 00,Low-Voltage Controllers,3,,Unnamed record,,,Unnamed record
26 29 13,Enclosed Controllers,4,,Unnamed record,,,Unnamed record
26 29 13.13,Across-the-Line Motor Controllers,5,,Unnamed record,,,Unnamed record
26 29 13.16,Reduced-Voltage Motor Controllers,5,,Unnamed record,,,Unnamed record
26 29 23,Variable-Frequency Motor Controllers,4,,Unnamed record,,,Unnamed record
26 29 33,Controllers for Fire Pump Drivers,4,,Unnamed record,,,Unnamed record
26 29 33.13,Full-Service Controllers for Fire Pump Electric-Motor Drivers,5,,Unnamed record,,,Unnamed record
26 29 33.16,Limited-Service Controllers for Fire Pump Electric-Motor Drivers,5,,Unnamed record,,,Unnamed record
26 29 33.19,Controllers for Fire Pump Diesel Engine Drivers,5,,Unnamed record,,,Unnamed record
26 30 00,Facility Electrical Power Generating and Storing Equipment,3,,Unnamed record,,,Unnamed record
26 31 00,Photovoltaic Collectors,3,,Unnamed record,,,Unnamed record
26 32 00,Packaged Generator Assemblies,3,,Unnamed record,,,Unnamed record
26 32 13,Engine Generators,4,,Unnamed record,,,Unnamed record
26 32 13.13,Diesel-Engine-Driven Generator Sets,5,,Unnamed record,,,Unnamed record
26 32 13.16,Gas-Engine-Driven Generator Sets,5,,Unnamed record,,,Unnamed record
26 32 13.26,Gas-Turbine Engine-Driven Generators,5,,Unnamed record,,,Unnamed record
26 32 16,Steam-Turbine Generators,4,,Unnamed record,,,Unnamed record
26 32 19,Hydro-Turbine Generators,4,,Unnamed record,,,Unnamed record
26 32 23,Wind Energy Equipment,4,,Unnamed record,,,Unnamed record
26 32 26,Frequency Changers,4,,Unnamed record,,,Unnamed record
26 32 29,Rotary Converters,4,,Unnamed record,,,Unnamed record
26 32 33,Rotary Uninterruptible Power Units,4,,Unnamed record,,,Unnamed record
26 33 00,Battery Equipment,3,,Unnamed record,,,Unnamed record
26 33 13,Batteries,4,,Unnamed record,,,Unnamed record
26 33 16,Battery Racks,4,,Unnamed record,,,Unnamed record
26 33 19,Battery Units,4,,Unnamed record,,,Unnamed record
26 33 23,Central Battery Equipment,4,,Unnamed record,,,Unnamed record
26 33 33,Static Power Converters,4,,Unnamed record,,,Unnamed record
26 33 43,Battery Chargers,4,,Unnamed record,,,Unnamed record
26 33 46,Battery Monitoring,4,,Unnamed record,,,Unnamed record
26 33 53,Static Uninterruptible Power Supply,4,,Unnamed record,,,Unnamed record
26 35 00,Power Filters and Conditioners,3,,Unnamed record,,,Unnamed record
26 35 13,Capacitors,4,,Unnamed record,,,Unnamed record
26 35 16,Chokes and Inductors,4,,Unnamed record,,,Unnamed record
26 35 23,Electromagnetic-Interference Filters,4,,Unnamed record,,,Unnamed record
26 35 26,Harmonic Filters,4,,Unnamed record,,,Unnamed record
26 35 33,Power Factor Correction Equipment,4,,Unnamed record,,,Unnamed record
26 35 36,Slip Controllers,4,,Unnamed record,,,Unnamed record
26 35 43,Static-Frequency Converters,4,,Unnamed record,,,Unnamed record
26 35 46,Radio-Frequency-Interference Filters,4,,Unnamed record,,,Unnamed record
26 35 53,Voltage Regulators,4,,Unnamed record,,,Unnamed record
26 36 00,Transfer Switches,3,,Unnamed record,,,Unnamed record
26 36 13,Manual Transfer Switches,4,,Unnamed record,,,Unnamed record
26 36 23,Automatic Transfer Switches,4,,Unnamed record,,,Unnamed record
26 40 00,Electrical and Cathodic Protection ,3,,Unnamed record,,,Unnamed record
26 41 00,Facility Lightning Protection,3,,Unnamed record,,,Unnamed record
26 41 13,Lightning Protection for Structures,4,,Unnamed record,,,Unnamed record
26 41 13.13,Lightning Protection for Buildings,5,,Unnamed record,,,Unnamed record
26 41 16,Lightning Prevention and Dissipation,4,,Unnamed record,,,Unnamed record
26 41 19,Early Streamer Emission Lightning Protection,4,,Unnamed record,,,Unnamed record
26 41 23,Lightning Protection Surge Arresters and Suppressors,4,,Unnamed record,,,Unnamed record
26 42 00,Cathodic Protection,3,,Unnamed record,,,Unnamed record
26 42 13,Passive Cathodic Protection for Underground and Submerged Piping,4,,Unnamed record,,,Unnamed record
26 42 16,Passive Cathodic Protection for Underground Storage Tank,4,,Unnamed record,,,Unnamed record
26 43 00,Surge Protective Devices,3,,Unnamed record,,,Unnamed record
26 43 13,Transient-Voltage Suppression for Low-Voltage Electrical Power Circuits,4,,Unnamed record,,,Unnamed record
26 50 00,Lighting,3,,Unnamed record,,,Unnamed record
26 51 00,Interior Lighting,3,,Unnamed record,,,Unnamed record
26 51 13,"Interior Lighting Fixtures, Lamps, And Ballasts",4,,Unnamed record,,,Unnamed record
26 52 00,Emergency Lighting,3,,Unnamed record,,,Unnamed record
26 53 00,Exit Signs,3,,Unnamed record,,,Unnamed record
26 54 00,Classified Location Lighting,3,,Unnamed record,,,Unnamed record
26 55 00,Special Purpose Lighting,3,,Unnamed record,,,Unnamed record
26 55 23,Outline Lighting,4,,Unnamed record,,,Unnamed record
26 55 29,Underwater Lighting,4,,Unnamed record,,,Unnamed record
26 55 33,Hazard Warning Lighting,4,,Unnamed record,,,Unnamed record
26 55 36,Obstruction Lighting,4,,Unnamed record,,,Unnamed record
26 55 39,Helipad Lighting,4,,Unnamed record,,,Unnamed record
26 55 53,Security Lighting,4,,Unnamed record,,,Unnamed record
26 55 59,Display Lighting,4,,Unnamed record,,,Unnamed record
26 55 61,Theatrical Lighting,4,,Unnamed record,,,Unnamed record
26 55 63,Detention Lighting,4,,Unnamed record,,,Unnamed record
26 55 70,Healthcare Lighting,4,,Unnamed record,,,Unnamed record
26 55 83,Broadcast Lighting,4,,Unnamed record,,,Unnamed record
26 56 00,Exterior Lighting,3,,Unnamed record,,,Unnamed record
26 56 13,Lighting Poles and Standards,4,,Unnamed record,,,Unnamed record
26 56 16,Parking Lighting,4,,Unnamed record,,,Unnamed record
26 56 19,Roadway Lighting,4,,Unnamed record,,,Unnamed record
26 56 23,Area Lighting,4,,Unnamed record,,,Unnamed record
26 56 26,Landscape Lighting,4,,Unnamed record,,,Unnamed record
26 56 29,Site Lighting,4,,Unnamed record,,,Unnamed record
26 56 33,Walkway Lighting,4,,Unnamed record,,,Unnamed record
26 56 36,Flood Lighting,4,,Unnamed record,,,Unnamed record
26 56 68,Exterior Athletic Lighting,4,,Unnamed record,,,Unnamed record
27 00 00,Communications,2,,Unnamed record,,,Unnamed record
27 01 00,Operation and Maintenance of Communications Systems,3,,Unnamed record,,,Unnamed record
27 01 10,Operation and Maintenance of Structured Cabling and Enclosures,4,,Unnamed record,,,Unnamed record
27 01 20,Operation and Maintenance of Data Communications,4,,Unnamed record,,,Unnamed record
27 01 30,Operation and Maintenance of Voice Communications,4,,Unnamed record,,,Unnamed record
27 01 40,Operation and Maintenance of Audio-Video Communications,4,,Unnamed record,,,Unnamed record
27 01 50,Operation and Maintenance of Distributed Communications and Monitoring,4,,Unnamed record,,,Unnamed record
27 05 00,Common Work Results for Communications,3,,Unnamed record,,,Unnamed record
27 05 13,Communications Services,4,,Unnamed record,,,Unnamed record
27 05 13.13,Dialtone Services,5,,Unnamed record,,,Unnamed record
27 05 13.23,T1 Services,5,,Unnamed record,,,Unnamed record
27 05 13.33,DSL Services,5,,Unnamed record,,,Unnamed record
27 05 13.43,Cable Services,5,,Unnamed record,,,Unnamed record
27 05 13.53,Satellite Services,5,,Unnamed record,,,Unnamed record
27 05 26,Grounding and Bonding for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 28,Pathways for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 29,Hangers and Supports for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 33,Conduits and Backboxes for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 36,Cable Trays for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 39,Surface Raceways for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 43,Underground Ducts and Raceways for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 46,Utility Poles for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 48,Vibration and Seismic Controls for Communications Systems,4,,Unnamed record,,,Unnamed record
27 05 53,Identification for Communications Systems,4,,Unnamed record,,,Unnamed record
27 08 00,Commissioning of Communications,3,,Unnamed record,,,Unnamed record
27 10 00,Structured Cabling,3,,Unnamed record,,,Unnamed record
27 11 00,Communications Equipment Room Fittings,3,,Unnamed record,,,Unnamed record
27 11 13,Communications Entrance Protection,4,,Unnamed record,,,Unnamed record
27 11 16,"Communications Cabinets, Racks, Frames and Enclosures",4,,Unnamed record,,,Unnamed record
27 11 19,Communications Termination Blocks and Patch Panels,4,,Unnamed record,,,Unnamed record
27 11 23,Communications Cable Management and Ladder Rack,4,,Unnamed record,,,Unnamed record
27 11 26,Communications Rack Mounted Power Protection and Power Strips,4,,Unnamed record,,,Unnamed record
27 13 00,Communications Backbone Cabling,3,,Unnamed record,,,Unnamed record
27 13 13,Communications Copper Backbone Cabling,4,,Unnamed record,,,Unnamed record
27 13 13.13,Communications Copper Cable Splicing and Terminations,5,,Unnamed record,,,Unnamed record
27 13 23,Communications Optical Fiber Backbone Cabling,4,,Unnamed record,,,Unnamed record
27 13 23.13,Communications Optical Fiber Splicing and Terminations,5,,Unnamed record,,,Unnamed record
27 13 33,Communications Coaxial Backbone Cabling,4,,Unnamed record,,,Unnamed record
27 13 33.13,Communications Coaxial Splicing and Terminations,5,,Unnamed record,,,Unnamed record
27 13 43,Communications Services Cabling,4,,Unnamed record,,,Unnamed record
27 13 43.13,Dialtone Services Cabling,5,,Unnamed record,,,Unnamed record
27 13 43.23,T1 Services Cabling,5,,Unnamed record,,,Unnamed record
27 13 43.33,DSL Services Cabling,5,,Unnamed record,,,Unnamed record
27 13 43.43,Cable Services Cabling,5,,Unnamed record,,,Unnamed record
27 13 43.53,Satellite Services Cabling,5,,Unnamed record,,,Unnamed record
27 15 00,Communications Horizontal Cabling,3,,Unnamed record,,,Unnamed record
27 15 00.16,Voice Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 00.19,Data Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 00.23,Audio-Video Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 00.39,Patient Monitoring and Telemetry Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 00.43,Nurse Call and Intercom Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 00.46,Paging Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 00.49,Intermediate Frequency/Radio Frequency Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 00.53,Antennas Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 13,Communications Copper Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 16,Voice Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 19,Data Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 23,Audio-Video Communications Horizontal Cabling,4,,"Unnamed record, Unnamed record",,,"Unnamed record,Unnamed record"
27 15 23,Communications Optical Fiber Horizontal Cabling,4,,,,,
27 15 33,Communications Coaxial Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 39,Patient Monitoring and Telemetry Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 43,Nurse Call and Intercom Communications Horizontal Cabling,4,,"Unnamed record, Unnamed record",,,"Unnamed record,Unnamed record"
27 15 43,Communications Faceplates and Connectors,4,,,,,
27 15 46,Paging Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 49,Intermediate Frequency/Radio Frequency Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 15 53,Antennas Communications Horizontal Cabling,4,,Unnamed record,,,Unnamed record
27 16 00,"Communications Connecting Cords, Devices and Adapters",3,,Unnamed record,,,Unnamed record
27 16 13,Communications Custom Cable Assemblies,4,,Unnamed record,,,Unnamed record
27 16 16,"Communications Media Converters, Adapters, and Transceivers",4,,Unnamed record,,,Unnamed record
27 16 19,"Communications Patch Cords, Station Cords, and Cross Connect Wire",4,,Unnamed record,,,Unnamed record
27 20 00,Data Communications,3,,Unnamed record,,,Unnamed record
27 21 00,Data Communications Network Equipment,3,,Unnamed record,,,Unnamed record
27 21 13,Data Communications Firewalls,4,,Unnamed record,,,Unnamed record
27 21 16,"Data Communications Routers, CSU/DSU, Multiplexers, Codec’s, and Modems",4,,Unnamed record,,,Unnamed record
27 21 26,Data Communications Network Management,4,,Unnamed record,,,Unnamed record
27 21 29,Data Communications Switches and Hubs,4,,Unnamed record,,,Unnamed record
27 21 33,Data Communications Wireless Access Points,4,,Unnamed record,,,Unnamed record
27 22 00,Data Communications Hardware,3,,Unnamed record,,,Unnamed record
27 22 13,Data Communications Mainframes,4,,Unnamed record,,,Unnamed record
27 22 16,Data Communications Storage and Backup,4,,Unnamed record,,,Unnamed record
27 22 19,Data Communications Servers,4,,Unnamed record,,,Unnamed record
27 22 23,Data Communications Desktops,4,,Unnamed record,,,Unnamed record
27 22 26,Data Communications Laptops,4,,Unnamed record,,,Unnamed record
27 22 29,Data Communications Handhelds,4,,Unnamed record,,,Unnamed record
27 24 00,Data Communications Peripheral Data Equipment,3,,Unnamed record,,,Unnamed record
27 24 13,Printers,4,,Unnamed record,,,Unnamed record
27 24 16,Scanners,4,,Unnamed record,,,Unnamed record
27 24 19,External Drives,4,,Unnamed record,,,Unnamed record
27 24 23,Audio-Video Devices,4,,Unnamed record,,,Unnamed record
27 24 26,Virtual Reality Equipment,4,,Unnamed record,,,Unnamed record
27 24 29,Disaster Recovery Equipment,4,,Unnamed record,,,Unnamed record
27 25 00,Data Communications Software,3,,Unnamed record,,,Unnamed record
27 25 13,Virus Protection Software,4,,Unnamed record,,,Unnamed record
27 25 16,Application Suites,4,,Unnamed record,,,Unnamed record
27 25 19,Email Software,4,,Unnamed record,,,Unnamed record
27 25 23,Graphics/Multimedia Software,4,,Unnamed record,,,Unnamed record
27 25 26,Customer Relationship Management Software,4,,Unnamed record,,,Unnamed record
27 25 29,Operating System Software,4,,Unnamed record,,,Unnamed record
27 25 33,Database Software,4,,Unnamed record,,,Unnamed record
27 25 37,Virtual Private Network Software,4,,Unnamed record,,,Unnamed record
27 25 39,Internet Conferencing Software,4,,Unnamed record,,,Unnamed record
27 26 00,Data Communications Programming and Integration Services,3,,Unnamed record,,,Unnamed record
27 26 13,Web Development,4,,Unnamed record,,,Unnamed record
27 26 16,Database Development,4,,Unnamed record,,,Unnamed record
27 26 19,Application Development,4,,Unnamed record,,,Unnamed record
27 26 23,Network Integration Requirements,4,,Unnamed record,,,Unnamed record
27 26 26,Data Communications Integration Requirements,4,,Unnamed record,,,Unnamed record
27 30 00,Voice Communications,3,,Unnamed record,,,Unnamed record
27 31 00,Voice Communications Switching and Routing Equipment,3,,Unnamed record,,,Unnamed record
27 31 13,PBX/ Key Systems,4,,Unnamed record,,,Unnamed record
27 31 23,Internet Protocol Voice Switches,4,,Unnamed record,,,Unnamed record
27 32 00,Voice Communications Terminal Equipment,3,,Unnamed record,,,Unnamed record
27 32 13,Telephone Sets,4,,Unnamed record,,,Unnamed record
27 32 16,Wireless Transceivers,4,,Unnamed record,,,Unnamed record
27 32 23,Elevator Telephones,4,,Unnamed record,,,Unnamed record
27 32 26,Ring-Down Emergency Telephones,4,,Unnamed record,,,Unnamed record
27 32 29,Facsimiles and Modems,4,,Unnamed record,,,Unnamed record
27 32 36,TTY Equipment,4,,Unnamed record,,,Unnamed record
27 32 43,Radio Communications Equipment,4,,Unnamed record,,,Unnamed record
27 33 00,Voice Communications Messaging,3,,Unnamed record,,,Unnamed record
27 33 16,Voice Mail and Auto Attendant,4,,Unnamed record,,,Unnamed record
27 33 23,Interactive Voice Response,4,,Unnamed record,,,Unnamed record
27 33 26,Facsimile Servers,4,,Unnamed record,,,Unnamed record
27 34 00,Call Accounting,3,,Unnamed record,,,Unnamed record
